id,name,breeder,species,auto_flower,flower_time,image
108,"CBD White Widow",5,1,0,58,https://en.seedfinder.eu/pics/01seeds/420_Genetics/420_Genetics_-_CBD_White_Widow_thumb.jpg
109,"Dr. Dorian",20,3,0,63,https://en.seedfinder.eu/pics/01seeds/AlpinStash/AlpinStash_-_Dr_Dorian_thumb.jpg
110,"Lukrezia Borgia",7,1,0,60,https://en.seedfinder.eu/pics/01seeds/ABC_Seeds/ABC_Seeds_-_Lukrezia_Borgia_thumb.jpg
111,GG1,19,1,0,58,https://en.seedfinder.eu/pics/01seeds/Aurora_Winds_Botanical_Seeds/Aurora_Winds_Botanical_Seeds_-_GG1_thumb.jpg
112,"Kandy Krush",14,1,0,53,https://en.seedfinder.eu/pics/01seeds/AV3_Genetics/AV3_Genetics_-_Kandy_Krush_thumb.jpg
113,"White Widow",25,1,0,60,https://en.seedfinder.eu/pics/01seeds/Azarius_Seeds/Azarius_Seeds_-_White_Widow_thumb.jpg
114,"In the Pines",30,2,0,0,https://en.seedfinder.eu/pics/01seeds/Aficionado_Seed_Collection/Aficionado_Seed_Collection_-_In_the_Pines_thumb.jpg
115,Covert,27,2,0,60,https://en.seedfinder.eu/pics/01seeds/Acumen_Genetics/Acumen_Genetics_-_Covert_thumb.jpg
116,"Cheese Auto",5,7,1,65,https://en.seedfinder.eu/pics/01seeds/420_Genetics/420_Genetics_-_Cheese_Auto_thumb.jpg
117,"AH/PAN/JAM x Sativa",36,2,0,80,https://en.seedfinder.eu/pics/01seeds/B_Seeds_Co/B_Seeds_Co_-_AH_PAN_JAM_x_Sativa_thumb.jpg
118,"Blue Cheese",37,1,0,60,https://en.seedfinder.eu/pics/01seeds/Afropips_Seeds/Afropips_Seeds_-_Blue_Cheese_thumb.jpg
119,"Chemdawg 91 x Memory Loss",17,3,0,64,https://en.seedfinder.eu/pics/01seeds/Archive_Seed_Bank/Archive_Seed_Bank_-_Chemdawg_91_x_Memory_Loss_thumb.jpg
120,"Girl Scout Cookies",19,3,0,50,https://en.seedfinder.eu/pics/01seeds/Aurora_Winds_Botanical_Seeds/Aurora_Winds_Botanical_Seeds_-_Girl_Scout_Cookies_thumb.jpg
121,"Stardawg UCBW",14,2,0,60,https://en.seedfinder.eu/pics/01seeds/AV3_Genetics/AV3_Genetics_-_Stardawg_UCBW_thumb.jpg
122,"Mandlebrot's Royal Kush VIII",30,1,0,58,https://en.seedfinder.eu/pics/01seeds/Aficionado_Seed_Collection/Aficionado_Seed_Collection_-_Mandlebrots_Royal_Kush_VIII_thumb.jpg
123,"Dragons Teeth",27,2,0,68,https://en.seedfinder.eu/pics/01seeds/Acumen_Genetics/Acumen_Genetics_-_Dragons_Teeth_thumb.jpg
124,"Auto Jack Herer",12,7,1,68,https://en.seedfinder.eu/pics/01seeds/Advanced_Seeds/Advanced_Seeds_-_Auto_Jack_Herer_thumb.jpg
125,"Cord Verde",31,7,1,70,https://en.seedfinder.eu/pics/01seeds/Afterthought_Autos/Afterthought_Autos_-_CORD_VERDE_thumb.jpg
126,"Clearwater Kush",17,1,0,70,https://en.seedfinder.eu/pics/01seeds/Archive_Seed_Bank/Archive_Seed_Bank_-_Clearwater_Kush_thumb.jpg
127,"Cannalope Dog",36,1,0,60,https://en.seedfinder.eu/pics/01seeds/B_Seeds_Co/B_Seeds_Co_-_Cannalope_Dog_thumb.jpg
128,"Red Hindu Kush",30,1,0,68,https://en.seedfinder.eu/pics/01seeds/Aficionado_Seed_Collection/Aficionado_Seed_Collection_-_Red_Hindu_Kush_thumb.jpg
129,"Big Bolt",34,1,0,48,https://en.seedfinder.eu/pics/01seeds/All-in_Medicinal_Seeds/All-in_Medicinal_Seeds_-_Big_Bolt_thumb.jpg
130,"NYCD Domina",7,3,0,67,https://en.seedfinder.eu/pics/01seeds/ABC_Seeds/ABC_Seeds_-_NYCD_Domina_thumb.jpg
131,"707 Headband",38,3,0,60,https://en.seedfinder.eu/pics/01seeds/BC_Bud_Depot/BC_Bud_Depot_-_707_Headband_thumb.jpg
132,"Durban Poison",37,2,0,105,https://en.seedfinder.eu/pics/01seeds/Afropips_Seeds/Afropips_Seeds_-_Durban_Poison_thumb.jpg
133,"Auto Afghan Mass",2,7,1,63,https://en.seedfinder.eu/pics/01seeds/00_Seeds_Bank/00_Seeds_Bank_-_Auto_Afghan_Mass_thumb.jpg
134,"Bear Dance",11,3,0,70,https://en.seedfinder.eu/pics/01seeds/303_Seeds/303_Seeds_-_Bear_Dance_thumb.jpg
135,"NL Cheese",6,1,0,63,https://en.seedfinder.eu/pics/01seeds/Abraxas_Seeds/Abraxas_Seeds_-_NL_Cheese_thumb.jpg
136,"Afghani #5",39,1,0,55,https://en.seedfinder.eu/pics/01seeds/BC_Grown/BC_Grown_-_Afghani_Nr5_thumb.jpg
137,"Choco Dog",36,3,0,60,https://en.seedfinder.eu/pics/01seeds/B_Seeds_Co/B_Seeds_Co_-_Choco_Dog_thumb.jpg
138,"Royal Salute",30,2,0,68,https://en.seedfinder.eu/pics/01seeds/Aficionado_Seed_Collection/Aficionado_Seed_Collection_-_Royal_Salute_thumb.jpg
139,"Big Marley",34,1,0,63,https://en.seedfinder.eu/pics/01seeds/All-in_Medicinal_Seeds/All-in_Medicinal_Seeds_-_Big_Marley_thumb.jpg
140,Blueberry,43,1,0,63,https://en.seedfinder.eu/pics/01seeds/ApeOrigin/ApeOrigin_-_Blueberry_F2_thumb.jpg
141,"Auto Afghan Mass XXL",2,7,1,63,https://en.seedfinder.eu/pics/01seeds/00_Seeds_Bank/00_Seeds_Bank_-_Auto_Afghan_Mass_XXL_thumb.jpg
142,"Smokework Orange",7,1,0,67,https://en.seedfinder.eu/pics/01seeds/ABC_Seeds/ABC_Seeds_-_Smokework_Orange_thumb.jpg
143,"Fast Blast",37,1,0,40,https://en.seedfinder.eu/pics/01seeds/Afropips_Seeds/Afropips_Seeds_-_Fast_Blast_thumb.jpg
144,"Cinderella's Dog",36,1,0,55,https://en.seedfinder.eu/pics/01seeds/B_Seeds_Co/B_Seeds_Co_-_Cinderellas_Dog_thumb.jpg
145,"Killa OG Kush",3,1,0,60,https://en.seedfinder.eu/pics/01seeds/207_Seeds/207_Seeds_-_Killa_OG_Kush_F2_thumb.jpg
146,"Amnesia Haze",38,2,0,70,https://en.seedfinder.eu/pics/01seeds/BC_Bud_Depot/BC_Bud_Depot_-_Amnesia_Haze_thumb.jpg
147,"Gas & Guns",31,7,0,80,https://en.seedfinder.eu/pics/01seeds/Afterthought_Autos/Afterthought_Autos_-_Gas_Guns_thumb.jpg
148,"Baseball Bat",44,2,0,50,https://en.seedfinder.eu/pics/01seeds/A-B-Seeds/A-B-Seeds_-_Baseball_Bat_thumb.jpg
149,Bushmans,43,2,0,0,https://en.seedfinder.eu/pics/01seeds/ApeOrigin/ApeOrigin_-_Bushmans_thumb.jpg
150,"Emperor's Breath",20,3,0,63,https://en.seedfinder.eu/pics/01seeds/AlpinStash/AlpinStash_-_Emperors_Breath_thumb.jpg
151,"Auto Blueberry",2,5,0,53,https://en.seedfinder.eu/pics/01seeds/00_Seeds_Bank/00_Seeds_Bank_-_Auto_Blueberry_thumb.jpg
152,"Lake OG",18,1,0,70,https://en.seedfinder.eu/pics/01seeds/Accelerator_Seeds/Accelerator_Seeds_-_Lake_OG_thumb.jpg
153,"White Domina",7,1,0,67,https://en.seedfinder.eu/pics/01seeds/ABC_Seeds/ABC_Seeds_-_White_Domina_thumb.jpg
154,Limona,31,7,0,85,https://en.seedfinder.eu/pics/01seeds/Afterthought_Autos/Afterthought_Autos_-_Limona_thumb.jpg
155,"Northern Light",6,5,1,56,https://en.seedfinder.eu/pics/01seeds/Abraxas_Seeds/Abraxas_Seeds_-_Northern_Light_thumb.jpg
156,"Versailles O.G.",30,3,0,68,https://en.seedfinder.eu/pics/01seeds/Aficionado_Seed_Collection/Aficionado_Seed_Collection_-_Versailles_OG_thumb.jpg
157,"Auto Bubble Gum",2,5,1,60,https://en.seedfinder.eu/pics/01seeds/00_Seeds_Bank/00_Seeds_Bank_-_Auto_Bubble_Gum_thumb.jpg
158,"Master Twisted OG Kush",3,1,0,60,https://en.seedfinder.eu/pics/01seeds/207_Seeds/207_Seeds_-_Master_Twisted_OG_Kush_thumb.jpg
159,"Ammi Haze",33,2,0,70,https://en.seedfinder.eu/pics/01seeds/Aztech_Genetics/Aztech_Genetics_-_Ammi_Haze_thumb.jpg
160,"Magnum Opus",31,7,1,85,https://en.seedfinder.eu/pics/01seeds/Afterthought_Autos/Afterthought_Autos_-_Magnum_Opus_thumb.jpg
161,"Dream Catcher",27,1,0,55,https://en.seedfinder.eu/pics/01seeds/Acumen_Genetics/Acumen_Genetics_-_Dream_Catcher_thumb.jpg
162,"OG Kush",6,3,0,60,https://en.seedfinder.eu/pics/01seeds/Abraxas_Seeds/Abraxas_Seeds_-_OG_Kush_thumb.jpg
163,"Absolute Herer",47,2,0,80,https://en.seedfinder.eu/pics/01seeds/Absolute_Cannabis_Seeds/Absolute_Cannabis_Seeds_-_Absolute_Herer_thumb.jpg
164,"Early Pearl x Northern Light",44,1,0,50,https://en.seedfinder.eu/pics/01seeds/A-B-Seeds/A-B-Seeds_-_Early_Pearl_x_Northern_Light_thumb.jpg
165,"Gods Gift",19,1,0,67,https://en.seedfinder.eu/pics/01seeds/Aurora_Winds_Botanical_Seeds/Aurora_Winds_Botanical_Seeds_-_Gods_Gift_thumb.jpg
166,"Cream Kush",36,1,0,55,https://en.seedfinder.eu/pics/01seeds/B_Seeds_Co/B_Seeds_Co_-_Cream_Kush_thumb.jpg
167,"Bio Diesel Bx2",11,3,0,74,https://en.seedfinder.eu/pics/01seeds/303_Seeds/303_Seeds_-_Bio_Diesel_Bx2_thumb.jpg
168,"Alpha Skunk",48,2,0,63,https://en.seedfinder.eu/pics/01seeds/Alpha_Genetics/Alpha_Genetics_-_Alpha_Skunk_thumb.jpg
169,Chocolope,5,2,0,67,https://en.seedfinder.eu/pics/01seeds/420_Genetics/420_Genetics_-_Chocolope_thumb.jpg
170,"Auto Kaya 47",12,7,1,75,https://en.seedfinder.eu/pics/01seeds/Advanced_Seeds/Advanced_Seeds_-_Auto_Kaya_47_thumb.jpg
171,BushmansKush,43,3,0,0,https://en.seedfinder.eu/pics/01seeds/ApeOrigin/ApeOrigin_-_BushmansKush_thumb.jpg
172,"Amazing Auto",47,7,1,73,https://en.seedfinder.eu/pics/01seeds/Absolute_Cannabis_Seeds/Absolute_Cannabis_Seeds_-_Amazing_Auto_thumb.jpg
173,High-Grade,44,0,0,55,https://en.seedfinder.eu/pics/01seeds/A-B-Seeds/A-B-Seeds_-_High-Grade_thumb.jpg
174,"Guatemala Pot",32,3,0,77,https://en.seedfinder.eu/pics/01seeds/Andalucia_Seeds/Andalucia_Seeds_-_Guatemala_Pot_thumb.jpg
175,Epic,27,2,0,65,https://en.seedfinder.eu/pics/01seeds/Acumen_Genetics/Acumen_Genetics_-_Epic_thumb.jpg
176,"Durban the Dog",36,3,0,60,https://en.seedfinder.eu/pics/01seeds/B_Seeds_Co/B_Seeds_Co_-_Durban_the_Dog_thumb.jpg
177,Amnesia,48,2,0,80,https://en.seedfinder.eu/pics/01seeds/Alpha_Genetics/Alpha_Genetics_-_Amnesia_thumb.jpg
