,name,keywords
48,Domina Star,Lilac Jasmine Spicy Head Blueberry Meditativ Spearmint Microbiological Relaxing Body Couch Lock Tangerine Pepper Lime Sour Exhilarating Narcotic Strawberry Musky Fruity Sweet Herbs Uplifting Calming Appetizing Hot Mint Sleepy Racy Pain numbing Sweet Lemon Cherry Blossom Aphrodisiac Citrus Activate Chili Earth Hashish Sage Berry Blackberry Orange Floral Blood Orange Nectar
49,Skunk Haze,Spicy Dill Head Grapefruit Spacy / Confusedly Spearmint Microbiological Relaxing Body Energetic Pepper Exhilarating Narcotic Sour Nervous / Fidgety Lemon Thought provoking Fruity Sweet Herbs Grape Uplifting Calming Acidic Vinegar Organic Psychedelic Hot Light headed Sleepy Racy Pain numbing Honey Sweat Sandalwood Bitter Aphrodisiac Citrus Activate Mustard Berry Floral Tee
50,C99,Stress Pineapple Spicy Head Grapefruit Spacy / Confusedly Microbiological Relaxing Body Pepper Exhilarating Lime Sour Narcotic Lemon Sugar Thought provoking Pine Fruity Musky Sweet Herbs Uplifting Calming Appetizing Psychedelic Light headed Sleepy Lemon Grass Sandalwood Sweet Lemon Citrus Activate Earth Tropical Cedarwood Energetic
51,Strawberry Sour Diesel,Soy Sauce Spicy Head Teriyaki Meditativ Microbiological Relaxing Body Exhilarating Lime Sour Narcotic Strawberry Lemon Thought provoking Pine Fruity Sweet Herbs Uplifting Calming Acidic Appetizing Psychedelic Hot Light headed Pain numbing Sweat Sandalwood Sweet Lemon Bitter Citrus Activate Berry Chemical Cherry Diesel Licorice
52,Mazar,Spicy Head Meditativ Spearmint Microbiological Relaxing Spacy / Confusedly Body Couch Lock Mango Exhilarating Narcotic Sour Lemon Chocolate Pine Fruity Sweet Herbs Uplifting Calming Acidic Appetizing Hot Sleepy Pain numbing Lemon Grass Sweet Lemon Wood Aphrodisiac Citrus Activate Earth Hashish Tropical Berry Floral Energetic
53,S.A.D. Sweet Afgani Delicious S1,Spicy Head Grapefruit Meditativ Spacy / Confusedly Microbiological Relaxing Body Couch Lock Tangerine Exhilarating Narcotic Sour Nervous / Fidgety Thought provoking Pine Fruity Musky Sweet Uplifting Calming Acidic Appetizing Psychedelic Hot Light headed Sleepy Racy Pain numbing Sandalwood Sweet Lemon Aphrodisiac Citrus Activate Earth Hashish Tropical Orange Floral Cedarwood Licorice
54,Holy Grail Kush,Bubble Gum Stress Spicy Head Meditativ Spacy / Confusedly Microbiological Relaxing Body Couch Lock Exhilarating Lime Sour Narcotic Rot Lemon Sugar Thought provoking Pine Musky Sweet Uplifting Calming Acidic Appetizing Psychedelic Hot Light headed Sleepy Rose Racy Pain numbing Honey Sandalwood Bitter Aphrodisiac Citrus Activate Leather Earth Hashish Chemical Floral Nectar Cedarwood Diesel Energetic
55,Lavender,Lilac Jasmine Spicy Head Grapefruit Meditativ Violet Microbiological Cheese Relaxing Body Energetic Narcotic Sour Peach Dairy Thought provoking Pear Pine Fruity Musky Sweet Herbs Uplifting Sour Cream Calming Acidic Organic Appetizing Cookie Dough Light headed Rose Pain numbing Honey Sandalwood Sweet Lemon Bitter Citrus Earth Berry Floral Plum Licorice Nuts
56,Hashberry,Spicy Head Blueberry Meditativ Microbiological Relaxing Body Couch Lock Exhilarating Narcotic Sour Nervous / Fidgety Parsley Pine Fruity Sweet Herbs Uplifting Calming Appetizing Hot Light headed Sleepy Racy Pain numbing Dizzy Lemon Grass Sandalwood Sweet Lemon Citrus Activate Chili Earth Hashish Berry Floral Cedarwood Licorice Energetic
57,Tangerine Dream,Stress Spicy Head Spacy / Confusedly Relaxing Body Couch Lock Tangerine Pepper Exhilarating Sour Apricot Tree Narcotic Apple Lemon Sugar Thought provoking Fruity Sweet Herbs Grape Uplifting Calming Appetizing Psychedelic Hot Light headed Sleepy Pain numbing Honey Dizzy Sandalwood Bitter Aphrodisiac Citrus Activate Tropical Berry Orange Floral Blood Orange Energetic Apricot
